period,reporter_iso_limpio,partner_iso_limpio,M,X,peso_comercio_total,balanza_comercial,ln_peso_comercio_total
2004,ARG,MEX,150655402.0,636357713.0,787013115.0,485702311.0,20.483755472062374
2004,ARG,MHL,0.0,34890.0,34890.0,34890.0,10.459984195277682
2004,ARG,MLI,0.0,598620.0,598620.0,598620.0,13.30238395564305
2004,ARG,MLT,88071.0,3067224.0,3155295.0,2979153.0,14.964592868891081
2004,ARG,MMR,976.0,108423.0,109399.0,107447.0,11.602766168970017
2004,ARG,MNG,0.0,178874.0,178874.0,178874.0,12.094442516858752
2004,ARG,MNP,0.0,17333.0,17333.0,17333.0,9.76042516969429
2004,ARG,MOZ,0.0,45577078.0,45577078.0,45577078.0,17.634915494603217
2004,ARG,MRT,0.0,2268680.0,2268680.0,2268680.0,14.634709163309665
2004,ARG,MUS,77.0,19450888.0,19450965.0,19450811.0,16.783407292605194
2004,ARG,MWI,0.0,2011721.0,2011721.0,2011721.0,14.514501629681124
2004,ARG,MYS,22727224.0,221779423.0,244506647.0,199052199.0,19.314753056693604
2004,ARG,NAM,0.0,155336.0,155336.0,155336.0,11.95335222931129
2004,ARG,NGA,15262439.0,55339390.0,70601829.0,40076951.0,18.07256662280742
2004,ARG,NIC,56.0,9984806.0,9984862.0,9984750.0,16.116580804157053
2004,ARG,NLD,37113482.0,474033015.0,511146497.0,436919533.0,20.052166795925984
2004,ARG,NOR,9856422.0,2025950.0,11882372.0,-7830472.0,16.29056659942665
2004,ARG,NRU,3033.0,0.0,3033.0,-3033.0,8.017637159908478
2004,ARG,NZL,2440799.0,3582671.0,6023470.0,1141872.0,15.611174229200822
2004,ARG,OMN,0.0,17079313.0,17079313.0,17079313.0,16.65337858158368
2004,ARG,PAK,429576.0,25532969.0,25962545.0,25103393.0,17.072165518951167
2004,ARG,PAN,15168.0,57778934.0,57794102.0,57763766.0,17.872397304216328
2004,ARG,PER,3907051.0,344952594.0,348859645.0,341045543.0,19.670180238820045
2004,ARG,PHL,8560169.0,180565382.0,189125551.0,172005213.0,19.057921648773096
2004,ARG,POL,6378282.0,140977481.0,147355763.0,134599199.0,18.80836038412976
2004,ARG,PRT,3192548.0,81800835.0,84993383.0,78608287.0,18.25808397613115
2004,ARG,PRY,600093.0,269381718.0,269981811.0,268781625.0,19.4138651517307
2004,ARG,PSE,0.0,84566.0,84566.0,84566.0,11.345299398574877
2004,ARG,QAT,287.0,7689530.0,7689817.0,7689243.0,15.855407674101626
2004,ARG,ROU,18155761.0,6950115.0,25105876.0,-11205646.0,17.038612520121013
2004,ARG,RUS,124804908.0,9004485.0,133809393.0,-115800423.0,18.71192691246141
2004,ARG,RWA,0.0,119304.0,119304.0,119304.0,11.689438518356125
2004,ARG,S19,37592756.0,19819419.0,57412175.0,-17773337.0,17.865766964229916
2004,ARG,SAU,5438253.0,154043542.0,159481795.0,148605289.0,18.88744034201422
2004,ARG,SCG,269347.0,44539.0,313886.0,-224808.0,12.656788327509238
2004,ARG,SDN,0.0,3624138.0,3624138.0,3624138.0,15.103127300817846
2004,ARG,SEN,0.0,11244950.0,11244950.0,11244950.0,16.23542978587384
2004,ARG,SGP,23863212.0,4304458.0,28167670.0,-19558754.0,17.15368545982834
2004,ARG,SLE,0.0,176143.0,176143.0,176143.0,12.079057121310184
2004,ARG,SLV,0.0,47520858.0,47520858.0,47520858.0,17.67667930945461
2004,ARG,STP,0.0,200000.0,200000.0,200000.0,12.206077645517674
2004,ARG,SUR,0.0,1438370.0,1438370.0,1438370.0,14.179021781205929
2004,ARG,SVK,4579224.0,8633.0,4587857.0,-4570591.0,15.338923806447283
2004,ARG,SVN,61327.0,2165893.0,2227220.0,2104566.0,14.616265177957096
2004,ARG,SWE,51935720.0,6772782.0,58708502.0,-45162938.0,17.888095129503736
2004,ARG,SWZ,0.0,259560.0,259560.0,259560.0,12.466747021401439
2004,ARG,SYR,51.0,94410812.0,94410863.0,94410761.0,18.36316670923975
2004,ARG,TCD,0.0,212152.0,212152.0,212152.0,12.265062991468504
2004,ARG,TGO,0.0,101823.0,101823.0,101823.0,11.531001111697458
2004,ARG,THA,20273265.0,77776153.0,98049418.0,57502888.0,18.400982185040885
2004,ARG,TLS,0.0,7300.0,7300.0,7300.0,8.895766604056085
2004,ARG,TTO,3519591.0,12092739.0,15612330.0,8573148.0,16.563571608697654
2004,ARG,TUN,8397061.0,111402104.0,119799165.0,103005043.0,18.60132728201872
2004,ARG,TUR,5507947.0,127337732.0,132845679.0,121829785.0,18.704698711764074
2004,ARG,TUV,479.0,0.0,479.0,-479.0,6.173786103901937
2004,ARG,TZA,0.0,25326462.0,25326462.0,25326462.0,17.047360375433417
2004,ARG,UGA,0.0,1565248.0,1565248.0,1565248.0,14.263555474731774
2004,ARG,UKR,9799765.0,694447.0,10494212.0,-9105318.0,16.166334520335557
2004,ARG,URY,54436030.0,198953339.0,253389369.0,144517309.0,19.35043787548443
